region,population
Вінницька,1554435
Волинська,1033871
Дніпропетровська,3195732
Донецька,4154487
Житомирська,1215930
Закарпатська,1255284
Запорізька,1699635
Івано-Франківська,1370555
Київська,1771405
Кіровоградська,941395
Луганська,2146660
Львівська,2516780
Миколаївська,1126863
Одеська,2378237
Полтавська,1396049
Рівненська,1155701
Сумська,1076842
Тернопільська,1043138
Харківська,2670525
Херсонська,1034100
Хмельницька,1261217
Черкаська,1201301
Чернівецька,902845
Чернігівська,1000653
м.Київ,2952294
